UBERON id	UBERON name	slim_disease_term	slim name		
UBERON:8600048	apex of urinary bladder	UBERON:8600046	renal system		
UBERON:0018707	bladder organ	UBERON:8600046	renal system		
UBERON:0001225	cortex of kidney	UBERON:8600046	renal system		
UBERON:8600049	dome of urinary bladder	UBERON:8600046	renal system		
UBERON:0004122	genitourinary system	UBERON:8600046	renal system		
UBERON:0012242	internal urethral orifice	UBERON:8600046	renal system		
UBERON:0002113	kidney	UBERON:8600046	renal system		
UBERON:8600043	lateral wall of urinary bladder	UBERON:8600046	renal system		
UBERON:0004538	left kidney	UBERON:8600046	renal system		
UBERON:0001142	left renal vein	UBERON:8600046	renal system		
UBERON:0001258	neck of urinary bladder	UBERON:8600046	renal system		
UBERON:8600047	posterior wall of urinary bladder	UBERON:8600046	renal system		
UBERON:0000362	renal medulla	UBERON:8600046	renal system		
UBERON:0001224	renal pelvis	UBERON:8600046	renal system		
UBERON:0001257	trigone of urinary bladder	UBERON:8600046	renal system		
UBERON:0011143	upper urinary tract	UBERON:8600046	renal system		
UBERON:0002068	urachus	UBERON:8600046	renal system		
UBERON:0000056	ureter	UBERON:8600046	renal system		
UBERON:0012303	ureteral orifice	UBERON:8600046	renal system		
UBERON:0000057	urethra	UBERON:8600046	renal system		
UBERON:0001255	urinary bladder	UBERON:8600046	renal system		
CL:0000542	lymphocyte				
